team_a,team_b,h2h_score,n_meetings_analysed
Algeria,Austria,0.0,1
Algeria,Belgium,0.0,1
Algeria,Brazil,0.0,1
Algeria,Cape Verde,4.0,4
Algeria,DR Congo,5.0,4
Algeria,Egypt,-3.0,5
Algeria,England,0.0,1
Algeria,Germany,0.0,2
Algeria,Ghana,-1.0,5
Algeria,Iraq,0.0,4
Algeria,Ivory Coast,-3.0,5
Algeria,Japan,0.0,1
Algeria,Jordan,0.0,1
Algeria,Morocco,-6.0,5
Algeria,Qatar,0.0,2
Algeria,Senegal,5.0,5
Algeria,South Africa,1.0,4
Algeria,South Korea,0.0,2
Algeria,Spain,0.0,1
Algeria,Tunisia,-2.0,5
Algeria,United States,0.0,1
Argentina,Australia,4.0,4
Argentina,Belgium,5.0,4
Argentina,Bosnia and Herzegovina,0.0,1
Argentina,Brazil,6.0,5
Argentina,Canada,0.0,2
Argentina,Colombia,1.0,5
Argentina,Croatia,1.0,3
Argentina,Ecuador,3.0,5
Argentina,Egypt,0.0,1
Argentina,England,-3.0,5
Argentina,France,1.0,5
Argentina,Germany,-6.0,5
Argentina,Haiti,0.0,1
Argentina,Iran,0.0,2
Argentina,Ivory Coast,0.0,2
Argentina,Japan,9.0,4
Argentina,Mexico,8.0,5
Argentina,Netherlands,-1.0,5
Argentina,Panama,0.0,1
Argentina,Paraguay,1.0,5
Argentina,Portugal,0.0,1
Argentina,Qatar,0.0,1
Argentina,Saudi Arabia,0.0,2
Argentina,South Korea,0.0,2
Argentina,Spain,0.0,1
Argentina,Sweden,0.0,2
Argentina,Switzerland,0.0,2
Argentina,Tunisia,0.0,1
Argentina,United States,18.0,5
Argentina,Uruguay,4.0,5
Australia,Brazil,-7.0,4
Australia,Canada,0.0,2
Australia,Croatia,0.0,1
Australia,Curaçao,0.0,1
Australia,Egypt,0.0,1
Australia,France,-4.0,4
Australia,Germany,-9.0,4
Australia,Ghana,0.0,2
Australia,Iran,-4.0,5
Australia,Iraq,5.0,5
Australia,Japan,-4.0,5
Australia,Jordan,3.0,5
Australia,Mexico,0.0,2
Australia,Morocco,0.0,1
Australia,Netherlands,0.0,1
Australia,New Zealand,5.0,5
Australia,Qatar,9.0,4
Australia,Saudi Arabia,1.0,5
Australia,Scotland,0.0,2
Australia,South Africa,0.0,1
Australia,South Korea,-1.0,5
Australia,Spain,0.0,1
Australia,Tunisia,0.0,2
Australia,Uruguay,-1.0,5
Australia,Uzbekistan,9.0,5
Austria,Belgium,-3.0,5
Austria,Bosnia and Herzegovina,2.0,5
Austria,Brazil,0.0,2
Austria,Croatia,0.0,3
Austria,Czech Republic,0.0,2
Austria,England,-1.0,3
Austria,France,-3.0,5
Austria,Germany,-10.0,5
Austria,Morocco,0.0,1
Austria,Netherlands,-6.0,5
Austria,Norway,8.0,5
Austria,Portugal,-1.0,5
Austria,Scotland,-3.0,5
Austria,Spain,-17.0,5
Austria,Sweden,6.0,5
Austria,Switzerland,6.0,5
Austria,Turkey,-9.0,5
Austria,United States,0.0,1
Austria,Uruguay,0.0,1
Belgium,Bosnia and Herzegovina,6.0,5
Belgium,Brazil,0.0,2
Belgium,Canada,0.0,2
Belgium,Croatia,-2.0,5
Belgium,Czech Republic,5.0,4
Belgium,England,4.0,5
Belgium,France,-6.0,5
Belgium,Germany,-6.0,5
Belgium,Iraq,0.0,1
Belgium,Japan,-3.0,4
Belgium,Mexico,-2.0,3
Belgium,Morocco,0.0,2
Belgium,Netherlands,-9.0,5
Belgium,Norway,5.0,4
Belgium,Panama,0.0,1
Belgium,Paraguay,0.0,2
Belgium,Portugal,-1.0,5
Belgium,Saudi Arabia,0.0,1
Belgium,Scotland,13.0,5
Belgium,South Korea,3.0,3
Belgium,Spain,-10.0,5
Belgium,Sweden,3.0,5
Belgium,Switzerland,-3.0,5
Belgium,Tunisia,0.0,2
Belgium,Turkey,-1.0,5
Belgium,United States,5.0,3
Belgium,Uruguay,0.0,1
Bosnia and Herzegovina,Croatia,0.0,2
Bosnia and Herzegovina,Czech Republic,0.0,2
Bosnia and Herzegovina,France,-3.0,4
Bosnia and Herzegovina,Germany,0.0,2
Bosnia and Herzegovina,Iran,0.0,1
Bosnia and Herzegovina,Japan,0.0,1
Bosnia and Herzegovina,Netherlands,-5.0,4
Bosnia and Herzegovina,Norway,-2.0,4
Bosnia and Herzegovina,Portugal,-13.0,5
Bosnia and Herzegovina,Scotland,0.0,2
Bosnia and Herzegovina,Spain,-7.0,5
Bosnia and Herzegovina,Turkey,-1.0,4
Bosnia and Herzegovina,Uzbekistan,0.0,1
Brazil,Canada,0.0,2
Brazil,Colombia,1.0,5
Brazil,Croatia,3.0,3
Brazil,Czech Republic,0.0,1
Brazil,DR Congo,0.0,1
Brazil,Ecuador,3.0,5
Brazil,Egypt,0.0,1
Brazil,England,3.0,5
Brazil,France,-5.0,5
Brazil,Germany,1.0,5
Brazil,Ghana,0.0,1
Brazil,Haiti,0.0,1
Brazil,Ivory Coast,0.0,1
Brazil,Japan,5.0,5
Brazil,Mexico,1.0,5
Brazil,Morocco,0.0,1
Brazil,Netherlands,-5.0,5
Brazil,New Zealand,0.0,2
Brazil,Norway,0.0,1
Brazil,Panama,0.0,1
Brazil,Paraguay,9.0,5
