team,r32_count,r16_count,qf_count,sf_count,final_count,winner_count,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,confederation,fifa_rank,rank_change,elo,form_score
Spain,877,542,350,228,148,89,0.877,0.542,0.35,0.228,0.148,0.089,UEFA,2,8,2229.717371568788,59.0
Argentina,828,520,322,210,129,79,0.828,0.52,0.322,0.21,0.129,0.079,CONMEBOL,3,-1,2179.3274393267657,37.0
England,810,477,277,158,95,60,0.81,0.477,0.277,0.158,0.095,0.06,UEFA,4,1,2094.6716530844915,54.0
France,809,487,318,187,105,53,0.809,0.487,0.318,0.187,0.105,0.053,UEFA,1,2,2124.654148726053,46.0
Brazil,793,447,261,144,87,42,0.793,0.447,0.261,0.144,0.087,0.042,CONMEBOL,6,-5,2062.455935207792,22.0
Netherlands,768,443,243,142,71,40,0.768,0.443,0.243,0.142,0.071,0.04,UEFA,7,-1,2019.3673529203213,40.0
Ecuador,798,464,240,131,78,39,0.798,0.464,0.24,0.131,0.078,0.039,CONMEBOL,23,18,2018.0166241337013,9.0
Colombia,789,467,260,157,83,39,0.789,0.467,0.26,0.157,0.083,0.039,CONMEBOL,13,4,2051.361719236353,20.0
Mexico,874,520,273,147,73,37,0.874,0.52,0.273,0.147,0.073,0.037,CONCACAF,15,0,1960.8747621808493,23.0
Morocco,754,389,205,121,66,30,0.754,0.389,0.205,0.121,0.066,0.03,CAF,8,3,1981.3983271781017,63.0
Switzerland,765,417,205,109,55,30,0.765,0.417,0.205,0.109,0.055,0.03,UEFA,19,-7,1946.194222733044,14.0
Germany,760,410,209,116,54,29,0.76,0.41,0.209,0.116,0.054,0.029,UEFA,10,4,1988.9426731349577,35.0
Portugal,775,425,247,135,66,29,0.775,0.425,0.247,0.135,0.066,0.029,UEFA,5,4,2023.436907368305,56.0
Croatia,734,393,193,111,55,27,0.734,0.393,0.193,0.111,0.055,0.027,UEFA,11,-4,1994.702933324668,32.0
Turkey,616,331,170,83,45,25,0.616,0.331,0.17,0.083,0.045,0.025,UEFA,22,22,1954.227181399216,21.0
Japan,717,364,184,90,52,24,0.717,0.364,0.184,0.09,0.052,0.024,AFC,18,2,1978.9420275023235,61.0
Canada,907,468,228,109,45,22,0.907,0.468,0.228,0.109,0.045,0.022,CONCACAF,30,23,1889.881666047604,14.0
Australia,601,302,145,57,34,20,0.601,0.302,0.145,0.057,0.034,0.02,AFC,27,0,1887.6291744994023,45.0
Uruguay,754,379,196,105,45,20,0.754,0.379,0.196,0.105,0.045,0.02,CONMEBOL,17,-1,1974.6833548909367,23.0
Belgium,755,388,213,101,43,19,0.755,0.388,0.213,0.101,0.043,0.019,UEFA,9,-5,1923.0023337240973,36.0
Senegal,658,335,167,76,45,18,0.658,0.335,0.167,0.076,0.045,0.018,CAF,14,5,1928.4700731493008,43.0
Norway,697,387,199,99,37,18,0.697,0.387,0.199,0.099,0.037,0.018,UEFA,31,12,1961.2244602023925,40.0
Paraguay,631,356,170,85,40,17,0.631,0.356,0.17,0.085,0.04,0.017,CONMEBOL,40,6,1919.0316291464555,-13.0
Austria,661,323,156,73,29,15,0.661,0.323,0.156,0.073,0.029,0.015,UEFA,24,10,1880.174293149851,32.0
South Korea,667,356,166,75,35,15,0.667,0.356,0.166,0.075,0.035,0.015,AFC,25,0,1870.71795728116,32.0
Scotland,630,309,148,61,28,15,0.63,0.309,0.148,0.061,0.028,0.015,UEFA,43,-1,1819.2922532278324,11.0
Algeria,619,269,127,51,31,14,0.619,0.269,0.127,0.051,0.031,0.014,CAF,28,10,1850.9694000234624,41.0
United States,813,376,176,79,33,13,0.813,0.376,0.176,0.079,0.033,0.013,CONCACAF,16,-3,1821.9075819337263,37.0
Ivory Coast,613,295,130,58,26,12,0.613,0.295,0.13,0.058,0.026,0.012,CAF,34,13,1784.2727606970027,37.0
Czech Republic,601,289,144,60,23,11,0.601,0.289,0.144,0.06,0.023,0.011,UEFA,41,-2,1776.724867643875,8.0
Panama,675,312,142,56,25,11,0.675,0.312,0.142,0.056,0.025,0.011,CONCACAF,33,28,1859.2628571969983,26.0
Uzbekistan,580,248,102,45,20,10,0.58,0.248,0.102,0.045,0.02,0.01,AFC,50,27,1820.2089906029937,34.0
Iran,671,339,155,71,28,10,0.671,0.339,0.155,0.071,0.028,0.01,AFC,21,3,1886.9787046230745,35.0
Saudi Arabia,505,189,75,30,14,9,0.505,0.189,0.075,0.03,0.014,0.009,AFC,61,-13,1683.291627818428,4.0
Egypt,618,276,119,45,17,8,0.618,0.276,0.119,0.045,0.017,0.008,CAF,29,11,1810.534390620391,18.0
New Zealand,613,271,102,37,18,8,0.613,0.271,0.102,0.037,0.018,0.008,OFC,85,20,1766.994196131978,52.0
Tunisia,588,252,97,38,17,7,0.588,0.252,0.097,0.038,0.017,0.007,CAF,44,-15,1740.868976717028,27.0
Sweden,591,248,113,43,18,7,0.591,0.248,0.113,0.043,0.018,0.007,UEFA,38,-15,1771.7428250384446,7.0
Jordan,559,234,120,50,20,6,0.559,0.234,0.12,0.05,0.02,0.006,AFC,63,21,1783.3044311849585,33.0
South Africa,539,226,90,35,12,5,0.539,0.226,0.09,0.035,0.012,0.005,CAF,60,7,1659.3411222020293,21.0
Iraq,508,204,81,26,11,4,0.508,0.204,0.081,0.026,0.011,0.004,AFC,57,11,1734.0817486492767,12.0
DR Congo,547,231,103,45,12,4,0.547,0.231,0.103,0.045,0.012,0.004,CAF,46,27,1750.3769993072835,19.0
Haiti,511,194,76,29,6,3,0.511,0.194,0.076,0.029,0.006,0.003,CONCACAF,83,4,1692.3825535469073,42.0
Cape Verde,518,181,58,18,6,2,0.518,0.181,0.058,0.018,0.006,0.002,CAF,69,3,1655.0504738907805,11.0
Qatar,440,148,52,16,5,2,0.44,0.148,0.052,0.016,0.005,0.002,AFC,55,5,1567.9464806427115,6.0
Bosnia and Herzegovina,522,200,72,16,5,1,0.522,0.2,0.072,0.016,0.005,0.001,UEFA,65,-8,1642.868214766237,-16.0
Curaçao,501,182,71,25,6,1,0.501,0.182,0.071,0.025,0.006,0.001,CONCACAF,82,4,1617.1082818082227,21.0
Ghana,440,137,50,17,4,1,0.44,0.137,0.05,0.017,0.004,0.001,CAF,74,-16,1614.5752753040013,13.0
